company,ticker,year,revenue_MEUR,csrd_2025,csrd_2027,segment,industry,hq_country,years_esg_data,base_year,external_audit_of_ESG_report,ceo_sust_statem,environmental_policy_and_assessment,environmental_performance_targets,reduced_environmental_impact,increased_renewable_energy,disclosure_of_raw_material_use,resource_efficiency_target,disclosure_of_water_discharges,supplier_guidelines,disclosure_of_suppliers_audited,disclosure_of_supplier_evaluation_procedures,supplier_environmental_assessment,energy_consump_bool,water_withdraw_bool,ghg_emis_bool,transport_emis_bool
ALK Abelló A/S,ALK,2020,323.8286479,1,0,Large,Health Care,Denmark,4,2019,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0
ALK Abelló A/S,ALK,2021,524.2302544,1,0,Large,Health Care,Denmark,4,2019,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0
ALK Abelló A/S,ALK,2022,606.3527216,1,0,Large,Health Care,Denmark,4,2019,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1
Spar Nord Bank A/S,SPNO,2019,446.854083,1,0,Mid,Finance,Denmark,2,2019,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1
Spar Nord Bank A/S,SPNO,2020,445.2476573,1,0,Mid,Finance,Denmark,2,2019,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1
Jutlander Bank A/S,JUTBK,2019,137.4706827,0,1,Mid,Finance,Denmark,2,2019,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Jutlander Bank A/S,JUTBK,2020,125.3866131,0,1,Mid,Finance,Denmark,2,2019,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
DSV A/S (formerly: DSV Panalpina A/S),DSV,2019,12677.51004,1,0,Large,Industrial Goods and Services,Denmark,4,2019,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1
DSV A/S (formerly: DSV Panalpina A/S),DSV,2022,31677.25873,1,0,Large,Industrial Goods and Services,Denmark,4,2019,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1
DSV A/S (formerly: DSV Panalpina A/S),DSV,2020,15519.67871,1,0,Large,Industrial Goods and Services,Denmark,4,2019,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,1
DSV A/S (formerly: DSV Panalpina A/S),DSV,2021,24405.08701,1,0,Large,Industrial Goods and Services,Denmark,4,2019,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1
D/S Norden ASA,DNORD,2019,2307.053571,1,0,Mid,Industrial Goods and Services,Denmark,4,2019,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,1
D/S Norden ASA,DNORD,2020,2319.464286,1,0,Mid,Industrial Goods and Services,Denmark,4,2019,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,1
D/S Norden ASA,DNORD,2021,3171.25,0,1,Mid,Industrial Goods and Services,Denmark,4,2019,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1
D/S Norden ASA,DNORD,2022,4743.214286,0,1,Mid,Industrial Goods and Services,Denmark,4,2019,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1
Ørsted A/S,ORSTED,2019,9081.927711,1,0,Large,Energy and Utilities,Denmark,4,2019,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1
Ørsted A/S,ORSTED,2020,7041.633199,1,0,Large,Energy and Utilities,Denmark,4,2019,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
Ørsted A/S,ORSTED,2021,6799.330656,1,0,Large,Energy and Utilities,Denmark,4,2019,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
Ørsted A/S,ORSTED,2022,6215.791172,1,0,Large,Energy and Utilities,Denmark,4,2019,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1
Chr. Hansen Holding A/S,CHR,2019,1161.0,1,0,Large,Health Care,Denmark,3,2019,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
Chr. Hansen Holding A/S,CHR,2020,970.0,1,0,Large,Health Care,Denmark,3,2019,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1
Chr. Hansen Holding A/S,CHR,2022,1218.0,1,0,Large,Health Care,Denmark,3,2019,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1
TDC A/S,TDC,2020,2153.815261,1,0,Large,Other,Denmark,1,2020,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1
Pandora A/S,PNDORA,2019,2927.443106,1,0,Large,Consumer Goods and Services,Denmark,4,2019,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1
Pandora A/S,PNDORA,2020,2544.712182,1,0,Large,Consumer Goods and Services,Denmark,4,2019,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Pandora A/S,PNDORA,2021,3131.726908,1,0,Large,Consumer Goods and Services,Denmark,4,2019,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
Pandora A/S,PNDORA,2022,3557.046078,1,0,Large,Consumer Goods and Services,Denmark,4,2019,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
Zealand Pharma A/S,ZEAL,2019,5.53,0,1,Mid,Health Care,Denmark,4,2019,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Zealand Pharma A/S,ZEAL,2020,47.29772423,0,1,Mid,Health Care,Denmark,4,2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Zealand Pharma A/S,ZEAL,2021,39.16559572,0,1,Mid,Health Care,Denmark,4,2019,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Zealand Pharma A/S,ZEAL,2022,13.97743164,0,1,Mid,Health Care,Denmark,4,2019,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Novozymes A/S,NZYM,2019,1924.230254,1,0,Large,Health Care,Denmark,4,2019,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
Novozymes A/S,NZYM,2020,1875.769746,1,0,Large,Health Care,Denmark,4,2019,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1
Novozymes A/S,NZYM,2021,2001.472557,1,0,Large,Health Care,Denmark,4,2019,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1
Novozymes A/S,NZYM,2022,2359.412397,1,0,Large,Health Care,Denmark,4,2019,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1
Coloplast A/S,COLO,2019,2403.886097,1,0,Large,Health Care,Denmark,4,2019,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
Coloplast A/S,COLO,2020,2482.463186,1,0,Large,Health Care,Denmark,4,2019,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1
Coloplast A/S,COLO,2021,2600.535475,1,0,Large,Health Care,Denmark,4,2019,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1
Coloplast A/S,COLO,2022,3034.989603,1,0,Large,Health Care,Denmark,4,2019,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
Asetek A/S,ASETEK,2020,64.95535714,0,1,Mid,Technology,Denmark,1,2020,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,1
Topdanmark A/S,TOP,2019,2745.27,1,0,Large,Finance,Denmark,4,2019,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,1
Topdanmark A/S,TOP,2020,2787.99,1,0,Large,Finance,Denmark,4,2019,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1
