comp_name,ticker,year,segment,industry,hq_country,ceo_sust_statem,sales,env_policy,ep_targets,env_impact_red,energy_consump,incr_renew_en,disclosure_raw,resource_target,water_withdraw,water_disclose,ghg_emis,transport_emis,years_es_report,audit_es_report,su_guidelines,su_aud_disclose,su_eva_disclose,su_env_assess,earn_per_share
Josemaria Resources Inc.,JOSE,2020.0,Mid,Basic Materials,Canada,0,0,1,1,1,,0,0,0,,0,,,,0,1,0,0,0,-0.082163643
Josemaria Resources Inc.,JOSE,2014.0,Mid,Basic Materials,Canada,0,0,1,0,0,,0,0,0,,0,,,0,0,0,0,0,0,-0.09
Josemaria Resources Inc.,JOSE,2015.0,Mid,Basic Materials,Canada,0,-15,0,0,0,,0,0,0,,0,,,,0,0,0,0,0,-0.07
Josemaria Resources Inc.,JOSE,2016.0,Mid,Basic Materials,Canada,0,0,1,0,0,,0,0,0,,0,,,6,0,0,0,0,0,0.1
Josemaria Resources Inc.,JOSE,2017.0,Mid,Basic Materials,Canada,0,0,0,0,0,,0,0,0,,0,,,0,0,0,0,0,0,0
Josemaria Resources Inc.,JOSE,2018.0,Mid,Basic Materials,Canada,0,0,0,0,0,,0,0,0,,0,,,No ESG report present,0,0,0,0,0,
Lucara Diamond Corp.,LUC,2014.0,Mid,Basic Materials,Canada,1,185.9,1,0,1,416733,0,0,0,2496,0,108.7,,,0,0,0,0,0,0.09
Lucara Diamond Corp.,LUC,2015.0,Mid,Basic Materials,Canada,1,205.3,1,1,1,494691,0,0,0,2017,0,124.6,,3,0,1,0,0,1,0.18
Lucara Diamond Corp.,LUC,2016.0,Mid,Basic Materials,Canada,1,281.4,1,1,1,579792,0,0,1,2577,1,76.9,,6,1,1,0,0,1,0.2
Lucara Diamond Corp.,LUC,2017.0,Mid,Basic Materials,Canada,1,183.97,1,1,1,678206,0,0,0,2048,0,83.8,,6,1,1,0,0,0,0.1
Lucara Diamond Corp.,LUC,2018.0,Mid,Basic Materials,Canada,1,149.32,1,1,0,743837,0,0,1,2691.944,0,95.616,,report ESG present,1,1,0,0,0,
Lucara Diamond Corp.,LUC,2019.0,Mid,Basic Materials,Canada,1,171.92,1,0,0,498642,0,0,1,2166.017,0,78.85,56369,7,1,0,0,0,0,0.020540911
Lucara Diamond Corp.,LUC,2020.0,Mid,Basic Materials,Canada,1,111.875,1,1,0,440135,1,0,0,2450.774,0,74.135,,8,1,1,0,0,0,-0.0625
Lundin Gold Inc.,LUG,2014.0,Mid,Basic Materials,Canada,0,1360.3,1,0,0,,0,0,0,,0,,,,0,0,0,0,0,-0.03
Lundin Gold Inc.,LUG,2015.0,Mid,Basic Materials,Canada,0,-41.6,1,0,0,,0,0,0,,0,,,,0,0,0,0,0,-0.41
Lundin Gold Inc.,LUG,2016.0,Mid,Basic Materials,Canada,1,0,1,1,1,,0,0,1,28,1,,,2,0,0,0,0,1,-0.6
Lundin Gold Inc.,LUG,2017.0,Mid,Basic Materials,Canada,1,0,1,0,1,,0,0,0,58,0,5.73,0.6,3,0,0,0,0,0,-0.3
Lundin Gold Inc.,LUG,2018.0,Mid,Basic Materials,Canada,1,0,1,1,1,,0,0,1,139,0,29.647,2.052,report ESG present,0,0,0,0,0,
Lundin Gold Inc.,LUG,2019.0,Mid,Basic Materials,Canada,1,0,1,0,0,,0,0,0,299.149,0,46.055,3.47634,4,0,0,0,0,0,-0.369736392
Lundin Gold Inc.,LUG,2020.0,Mid,Basic Materials,Canada,1,319.7821429,1,1,0,725742,0,0,0,1176,0,48.55,1.141,5,0,0,0,0,0,0.294642857
Lundin Mining Corporation,LUMI,2014.0,Mid,Basic Materials,Canada,1,689.3,1,1,1,3695041,0,0,1,16300,1,330.7,,5,1,0,0,0,0,0.14
Lundin Mining Corporation,LUMI,2015.0,Mid,Basic Materials,Canada,1,1561.4,1,1,1,8077873,0,0,1,39700,1,781.4,56,5,1,1,0,1,1,-0.38
Lundin Mining Corporation,LUMI,2016.0,Mid,Basic Materials,Canada,1,1472,1,1,1,7450620,1,0,1,37120,1,673.1,26.3,6,1,0,0,0,1,0.2
Lundin Mining Corporation,LUMI,2017.0,Mid,Basic Materials,Canada,1,1733.3,1,1,1,7908129,1,0,1,31039,1,752.4,24.4,7,1,1,0,0,0,0.2
Lundin Mining Corporation,LUMI,2018.0,Mid,Basic Materials,Canada,1,1500.521739,1,1,1,9052897,1,0,1,31846.42,1,839.929,,4,1,1,0,1,1,0.234782609
Lundin Mining Corporation,LUMI,2019.0,Mid,Basic Materials,Canada,1,1689.922321,1,1,1,10738795,1,0,1,34700,1,787.208,,5,1,1,0,0,0,0.205357143
Lundin Mining Corporation,LUMI,2020.0,Mid,Basic Materials,Canada,1,1822.767857,1,1,1,11264826,0,0,1,38779000,0,885.662,38.649,7,1,1,0,0,1,0.205357143
Lundin Mining Corporation,LUMI,2022.0,Mid,Basic Materials,Canada,,,,,,,,,,,,,,,,,,,,
Questerre Energy Corporation,QEC,2020.0,Large,Energy,Canada,1,19.575,1,1,0,,0,0,0,,0,,,0,0,0,0,0,0,-0.25
Questerre Energy Corporation,QEC,2016.0,Large,Energy,Canada,0,12,1,0,1,,0,0,0,,0,,,,0,0,0,0,0,0
Questerre Energy Corporation,QEC,2017.0,Large,Energy,Canada,,14.57790214,0,0,1,,0,0,0,,0,,,0,0,0,0,0,0,-0.047771787
Questerre Energy Corporation,QEC,2022.0,Large,Energy,Canada,,49.14398063,0,0,0,,,0,0,,0,,,0,0,0,0,0,0,0.056977427
Questerre Energy Corporation,QEC,2018.0,Large,Energy,Canada,,21.54273393,0,0,1,,0,0,0,,0,,,0,0,0,0,0,0,0.019602718
Questerre Energy Corporation,QEC,2019.0,Large,Energy,Canada,,22.10728227,0,0,1,,0,0,0,,0,,,1,0,0,0,0,0,0.107686095
SEMAFO Inc.,SMF,2014.0,Mid,Basic Materials,Sweden,1,209.4,1,1,1,,0,0,1,,0,,,6,0,1,0,1,1,0.04
SEMAFO Inc.,SMF,2015.0,Mid,Basic Materials,Sweden,0,275.3,1,1,1,,0,0,0,,0,,,6,0,0,0,0,0,0.08
SEMAFO Inc.,SMF,2016.0,Mid,Basic Materials,Sweden,1,286.2,1,0,1,224298,0,0,0,,1,,,11,0,0,0,0,0,0.1
SEMAFO Inc.,SMF,2017.0,Mid,Basic Materials,Sweden,0,215.8,1,0,1,243220,0,0,0,,0,,,8,0,0,0,0,0,0.1
SEMAFO Inc.,SMF,2018.0,Mid,Basic Materials,Sweden,0,258.2608696,1,0,1,,0,0,0,,0,,,report ESG present,0,1,0,0,0,0.026086957
ABB Ltd,ABB,2014.0,Large,Industrial Goods and Services,Switzerland,1,34301.6,1,1,1,10080000,1,1,1,10300,1,1480,171,20,1,1,1,1,1,1.01
ABB Ltd,ABB,2015.0,Large,Industrial Goods and Services,Switzerland,1,32551.4,1,1,1,9424800,1,1,1,9700,1,1378,158,17,1,1,1,1,1,0.8
ABB Ltd,ABB,2016.0,Large,Industrial Goods and Services,Switzerland,,1931.534784,1,1,1,9334800,0,0,1,9100,1,1379,164,4,1,1,1,1,1,0.835668933
ABB Ltd,ABB,2017.0,Large,Industrial Goods and Services,Switzerland,1,28593.3,1,1,1,9295200,0,0,1,9280,1,1026,150,9,1,1,1,1,1,0.9
ABB Ltd,ABB,2018.0,Large,Industrial Goods and Services,Switzerland,1,24053.91304,1,1,1,9126000,0,0,1,8988,1,1002,138,9,0,1,1,1,1,0.886956522
