company,ticker,year,csrd_2025,csrd_2027,segment,industry,hq_country,base_year,external_audit_of_ESG_report,revenue_MEUR,energy_consump_GJ,water_withdraw_thm3,ghg_emis_kt,transport_emis_kt,ghg_emis_per_MEUR_revenue,water_withdraw_per_MEUR_revenue
Carlsberg A/S,CARL,2022,1,0,Large,Consumer Goods and Services,Denmark,2019,0,9444.77366,5637595.49,27300.0,323.0,,0.03419880789393104,2.89048747834154
Carlsberg A/S,CARL,2019,1,0,Large,Consumer Goods and Services,Denmark,2019,1,8822.222222,11556000.0,35900.0,638.0,,0.07231738035446643,4.06926952151308
Carlsberg A/S,CARL,2020,1,0,Large,Consumer Goods and Services,Denmark,2019,1,7836.813922,10980000.0,33100.0,563.0,,0.07184041953829104,4.223655216194375
Københavns Lufthavne A/S,KBHL,2019,1,0,Large,Industrial Goods and Services,Denmark,2019,0,581.793842,308401.2,,27.013,347.882,0.046430536127950284,
Københavns Lufthavne A/S,KBHL,2020,1,0,Large,Industrial Goods and Services,Denmark,2019,1,210.9370817,246801.6,,21.702,126.833,0.10288375957938553,
Københavns Lufthavne A/S,KBHL,2021,1,0,Large,Industrial Goods and Services,Denmark,2019,0,235.729585,566066.0,207.941,22.011,143.639,0.09337393946542603,0.8821166846749423
Københavns Lufthavne A/S,KBHL,2022,1,0,Large,Industrial Goods and Services,Denmark,2019,0,474.7589919,594283.0,495.624,22.762,245.496,0.047944326254687204,1.0439486317394382
Lån og Spar Bank A/S,LASP,2019,0,1,Mid,Finance,Denmark,2019,0,139.5907631,,,,,,
Lån og Spar Bank A/S,LASP,2020,0,1,Mid,Finance,Denmark,2019,0,140.8393574,,,,,,
Bang & Olufsen A/S,BO,2020,0,1,Mid,Consumer Goods and Services,Denmark,2019,0,351.9410977,,,,,,
Rockwool International A/S,ROCK,2021,1,0,Large,Industrial Goods and Services,Denmark,2019,1,3088.0,20473200.0,3680.0,1910.0,1040.0,0.6185233160621761,1.1917098445595855
Rockwool International A/S,ROCK,2022,1,0,Large,Industrial Goods and Services,Denmark,2019,1,3907.0,20019600.0,3.65,96.0,99.0,0.02457128231379575,0.0009342206296391092
Rockwool International A/S,ROCK,2019,1,0,Large,Industrial Goods and Services,Denmark,2019,0,2757.0,18190800.0,3480.0,1750.0,,0.6347479143997098,1.2622415669205658
