,comp_name,ticker,year,gvkey,org_number,isin,finbas_id,segment,industry,supersector,supersector_icb,hq_country,ceo_sust_statem,reported_curr,sales,env_policy,ep_targets,env_impact_red,energy_consump,incr_renew_en,disclosure_raw,resource_target,water_withdraw,water_disclose,ghg_emis,transport_emis,years_es_report,audit_es_report,su_guidelines,su_aud_disclose,su_eva_disclose,su_env_assess,earn_per_share,combined
42,Frontline Ltd,FRO,2021.0,312009.0,,BMG3682E1921,14200,Large,Industrials,Industrial Goods and Services,5020,Bermuda,Y,USD,669.0901786,Y,Y,Y,25701742,N,N,Y,ND,ND,2081.481,0.066,4,N,Y,N,N,N,-0.053571429,Frontline Ltd (FRO)
43,Frontline Ltd,FRO,2022.0,312009.0,,BMG3682E1921,14200,Large,Oil & Gas,Energy,5020,Bermuda,,USD,1365.794513,Y,Y,Y,27547078,N,N,Y,ND,N,2110.6335,0.0831,6,N,Y,N,Y,N,2.108164808,Frontline Ltd (FRO)
44,Golden Ocean Group Ltd,GOGL,2014.0,64355.0,ND,BMG396372051,71320,Mid,Industrials,Industrial Goods & Services,2700,Bermuda,N,USD,70.1,N,N,N,ND,N,N,Y,ND,N,ND,ND,ND,N,N,N,N,N,0.22,Golden Ocean Group Ltd (GOGL)
45,Golden Ocean Group Ltd,GOGL,2016.0,64355.0,ND,BMG396372051,71320,Mid,Industrials,Industrial Goods & Services,2700,Bermuda,N,USD,245.5,Y,N,Y,ND,N,N,Y,ND,N,ND,ND,9,N,N,N,N,N,-1.3,Golden Ocean Group Ltd (GOGL)
46,Golden Ocean Group Ltd,GOGL,2017.0,64355.0,ND,BMG396372051,71320,Large,Industrials,Industrial Goods & Services,2700,Bermuda,N,USD,383.4,Y,Y,N,ND,N,N,N,ND,N,ND,ND,1,N,N,N,N,N,0,Golden Ocean Group Ltd (GOGL)
47,Golden Ocean Group Ltd,GOGL,2018.0,64355.0,,BMG396372051,71320,Mid,Industrials,Industrial Goods & Services*,5020*,Bermuda,Y,USD,585.7767857,Y,Y,Y,24996676,N,N,Y,ND,N,ND,ND,1,N,Y,N,N,N,0.526785714,Golden Ocean Group Ltd (GOGL)
48,Golden Ocean Group Ltd,GOGL,2019.0,64355.0,ND,BMG396372051,71320,Mid,Industrials,Industrial Goods & Services,5020,Bermuda,Y,USD,628.6875,Y,Y,Y,27589398,N,N,Y,ND,N,1728.831,ND,2,N,N,N,N,N,0.232142857,Golden Ocean Group Ltd (GOGL)
49,Golden Ocean Group Ltd,GOGL,2020.0,64355.0,,BMG396372051,71320,Mid,Industrials,Industrial Goods & Services,0,Bermuda,Y,USD,585.7767857,Y,Y,Y,24996676,N,N,Y,ND,Y,ND,ND,3,N,Y,N,Y,Y,0.857142857,Golden Ocean Group Ltd (GOGL)
50,Golden Ocean Group Ltd,GOGL,2021.0,64355.0,,BMG396372051,71320,Mid,Industrials,Industrial Goods & Services,5020,Norway,N,USD,470.7303571,,,,,,,,,,,,3,,,,,,2.4375,Golden Ocean Group Ltd (GOGL)
51,Golden Ocean Group Ltd,GOGL,2022.0,64355.0,,BMG396372051,71320,Large,Industrials,Industrial Goods and Services,5020,Norway,,USD,1057.364304,Y,Y,Y,21483634,Y,N,Y,ND,N,1867.7604,0.0258,5,N,Y,Y,Y,Y,2.174638473,Golden Ocean Group Ltd (GOGL)
